,name_lens,lens_link,number_of_works,collaboration_ratio,lens_h_index,scholar_article_cites,patent_cites,associated_fields,current_place_of_work
0,Premkumar Jayaraman,https://www.lens.org/lens/orcid/0000-0003-3279-5031/scholar,7,57%,6,413,22,"['Biology , Microbiology , Synthetic biology , Cholera , Computational biology , Escherichia coli , Vibrio cholerae , Active site , Animal Sources , Antifolate']",no current information
1,Poh Theng (Beatrice) Loo,https://www.lens.org/lens/orcid/0000-0002-6859-7769/scholar,7,43%,6,104,0,"['Business , Complaint , Marketing , Service (business) , Cognition , Consumer behaviour , Operations management , Thematic analysis , Adaptation (computer science) , Advertising']",Xiamen University Malaysia
2,Hui-Juan Wang,https://www.lens.org/lens/orcid/0000-0002-6110-6306/scholar,7,86%,4,42,0,"['Chemistry , Crystallography , Materials science , Organic chemistry , Supramolecular chemistry , Fluorescence , Molecule , Optics , Phosphorescence , Physics']",no current information
3,Chunbo Lou,https://www.lens.org/lens/orcid/0000-0002-7941-6038/scholar,46,84%,19,"2,024",57,"['Biology , Computational biology , Genetics , Gene , Synthetic biology , Escherichia coli , Chemistry , Computer science , Biochemistry , CRISPR']",Shenzhen Institutes of Advanced Technology
4,Tae Seok Moon,https://www.lens.org/lens/orcid/0000-0001-8373-9051/scholar,61,52%,28,"3,704",117,"['Biology , Synthetic biology , Chemistry , Biochemistry , Computational biology , Biochemical engineering , Metabolic engineering , RNA , Gene , Bacteria']",no current information
5,Tamsir Ariyadi,https://www.lens.org/lens/orcid/0000-0001-8943-5796/scholar,4,33%,-,0,0,"['Computer network , Computer science , The Internet , Art , Bandwidth (computing) , Bandwidth allocation , Bandwidth management , Block (data storage) , Denial-of-service attack , Humanities']",no current information
6,Andrew Temme,https://www.lens.org/lens/orcid/0000-0001-9259-4579/scholar,13,42%,6,229,1,"['Optics , Materials science , Antenna (radio) , Permittivity , Antenna efficiency , Antenna measurement , Bistatic radar , Computer science , Dielectric , Directional antenna']",University of Minnesota
7,Birgit Voigt,https://www.lens.org/lens/orcid/0000-0003-4534-6315/scholar,13,92%,11,"1,003",53,"['Biology , Biochemistry , Bacillus licheniformis , Bacillus subtilis , Proteome , Microbiology , Bacillus pumilus , Bacteria , Gene , Proteomics']",Forschungsinstitut für Leder und Kunststoffbahnen
8,avi mayo,https://www.lens.org/lens/orcid/0000-0002-4479-3423/scholar,75,58%,35,"5,698",29,"['Biology , Computer science , Cell biology , Genetics , Biological system , Computational biology , Gene , Physics , Cell , Artificial intelligence']",no current information
9,Rachel Selinsky,https://www.lens.org/lens/orcid/0000-0002-4874-5947/scholar,11,22%,10,419,2,"['Materials science , Quantum dot , Condensed matter physics , Spectroscopy , Chemistry , Molecular physics , Analytical chemistry , Arc (geometry) , Biexciton , Carbon arc welding']",Princeton University
10,Qi Xiu,https://www.lens.org/lens/orcid/0000-0003-0002-3299/scholar,4,50%,1,1,0,"['Psychology , Sociology , Educational leadership , Law , Mathematics education , Pedagogy , Physics , Political science , Teacher leadership , Academic achievement']","Faculty of Education , PhD candidate"
11,Timothy Lu,https://www.lens.org/lens/orcid/0000-0002-3918-8923/scholar,56,84%,26,"4,788",272,"['Biology , Synthetic biology , Chemistry , Computational biology , Bacteria , Biochemistry , Computer science , Antimicrobial peptides , Cell biology , Gene']",no current information
12,Tzu-Chieh Tang,https://www.lens.org/lens/orcid/0000-0002-6215-8714/scholar,21,71%,10,970,4,"['Nanotechnology , Materials science , Synthetic biology , Computer science , Bacteria , Biochemical engineering , Biology , Chemistry , Nanoscopic scale , Biocompatible material']",Harvard University Wyss Institute for Biologically Inspired Engineering
13,Tom Ellis,https://www.lens.org/lens/orcid/0000-0003-4894-6770/scholar,1,100%,1,4,0,"['Algorithm , Argument (complex analysis) , Automatic differentiation , Biochemistry , Chemistry , Computation , Computer science , Construct (python library) , Correctness , Economics']",no current information
14,Gilbert Charles Morgan,https://www.lens.org/lens/orcid/0000-0003-0516-1113/scholar,2,100%,1,6,0,"['Cancer , Internal medicine , Medicine , Bioinformatics , Biology , Cancer research , Endometrial cancer , Gene , Genetics , Group B']",no current information
15,Ryan Costello,https://www.lens.org/lens/orcid/0000-0001-7028-1627/scholar,2,50%,1,25,0,"['Biology , Cell biology , Chemistry , Cre recombinase , Cre-Lox recombination , Cytosine , DNA , DNA glycosylase , Exon , Immunoglobulin class switching']",no current information
16,Tijana Radivojevic,https://www.lens.org/lens/orcid/0000-0002-7165-2909/scholar,15,93%,8,396,7,"['Computer science , Artificial intelligence , Hybrid Monte Carlo , Applied mathematics , Importance sampling , Machine learning , Mathematical economics , Metabolic engineering , Sampling (statistics) , Statistical physics']",Lawrence Berkeley National Laboratory
17,Hector Garcia Martin,https://www.lens.org/lens/orcid/0000-0002-4556-9685/scholar,52,92%,33,"5,750",87,"['Biology , Biochemistry , Computer science , Metabolic engineering , Computational biology , Synthetic biology , Artificial intelligence , Metabolic flux analysis , Ecology , Chemistry']",no current information
18,VITO PAOLO PASTORE,https://www.lens.org/lens/orcid/0000-0002-5827-5571/scholar,20,68%,7,278,3,"['Computer science , Artificial intelligence , Plankton , Phytoplankton , Transfer entropy , Artificial neural network , Environmental science , Functional connectivity , Machine learning , Network topology']",no current information
19,Simone Bianco,https://www.lens.org/lens/orcid/0000-0002-8300-9566/scholar,4,100%,2,8,0,"['Biology , Business , Marketing , Computer science , Ecology , Industrial organization , Law , Political science , Tourism , Competition (biology)']",no current information
